# lemma	features	form
# Mined weak-root residue: cells the rules do not reach (doubly-weak
# and hamza-hollow roots). Regenerate with scripts/ara/mine_overrides.py.
أوى	V;3;ACT;DU;IND;MASC;PRF;PST	أَوَيَا
أوى	V;3;ACT;FEM;IND;IPFV;PL	يَأْوِينَ
أوى	V;3;ACT;FEM;IND;IPFV;SG	تَأْوِي
أوى	V;3;ACT;FEM;IND;PL;PRF;PST	أَوَيْنَ
أوى	V;3;ACT;FEM;IND;PRF;PST;SG	أَوَتْ
أوى	V;3;ACT;FEM;JUS;PL	يَأْوِينَ
أوى	V;3;ACT;FEM;JUS;SG	تَأْوِ
أوى	V;3;ACT;FEM;PL;SBJV	يَأْوِينَ
أوى	V;3;ACT;IND;IPFV;MASC;PL	يَأْوُونَ
أوى	V;3;ACT;IND;IPFV;MASC;SG	يَأْوِي
أوى	V;3;ACT;IND;MASC;PL;PRF;PST	أَوَوْا
أوى	V;3;ACT;IND;MASC;PRF;PST;SG	أَوَى
أوى	V;3;ACT;JUS;MASC;PL	يَأْوُوا
أوى	V;3;ACT;JUS;MASC;SG	يَأْوِ
أوى	V;3;ACT;MASC;PL;SBJV	يَأْوُوا
أوى	V;3;DU;FEM;IND;IPFV;PASS	تُؤَوَّيَانِ
أوى	V;3;DU;FEM;JUS;PASS	تُؤَوَّيَا
أوى	V;3;DU;FEM;PASS;SBJV	تُؤَوَّيَا
أوى	V;3;DU;IND;IPFV;MASC;PASS	يُؤَوَّيَانِ
أوى	V;3;DU;JUS;MASC;PASS	يُؤَوَّيَا
أوى	V;3;DU;MASC;PASS;SBJV	يُؤَوَّيَا
أوى	V;3;FEM;IND;IPFV;PASS;PL	يُؤَوَّيْنَ
أوى	V;3;FEM;IND;IPFV;PASS;SG	تُؤَوَّى
أوى	V;3;FEM;IND;PASS;PL;PRF;PST	أُوِينَ
أوى	V;3;FEM;JUS;PASS;PL	يُؤَوَّيْنَ
أوى	V;3;FEM;JUS;PASS;SG	تُؤَوَّ
أوى	V;3;FEM;PASS;PL;SBJV	يُؤَوَّيْنَ
أوى	V;3;FEM;PASS;SBJV;SG	تُؤَوَّى
أوى	V;3;IND;IPFV;MASC;PASS;PL	يُؤَوَّوْنَ
أوى	V;3;IND;IPFV;MASC;PASS;SG	يُؤَوَّى
أوى	V;3;IND;MASC;PASS;PL;PRF;PST	أُوُوا
أوى	V;3;JUS;MASC;PASS;PL	يُؤَوَّوْا
أوى	V;3;JUS;MASC;PASS;SG	يُؤَوَّ
أوى	V;3;MASC;PASS;PL;SBJV	يُؤَوَّوْا
أوى	V;3;MASC;PASS;SBJV;SG	يُؤَوَّى
أيقن	V;2;ACT;FEM;IMP;PL	أَيْقِنَّ
أيقن	V;2;ACT;FEM;IMP;SG	أَيْقِنِي
أيقن	V;2;ACT;IMP;MASC;SG	أَيْقِنْ
ائتم	V;1;IND;IPFV;PASS;SG	أُوتَمُّ
ائتم	V;1;JUS;PASS;SG	أُوتَمَمْ
ائتم	V;1;PASS;SBJV;SG	أُوتَمَّ
ائتم	V;2;ACT;FEM;IMP;PL	اِئْتَمِمْنَ
ائتم	V;2;ACT;FEM;IMP;SG	اِئْتَمِّي
ائتم	V;2;ACT;IMP;MASC;SG	اِئْتَمَّ
ائتمر	V;2;ACT;FEM;IMP;PL	اِئْتَمِرْنَ
ائتمر	V;2;ACT;FEM;IMP;SG	اِئْتَمِرِي
ائتمر	V;2;ACT;IMP;MASC;SG	اِئْتَمِرْ
احتوى	V;1;ACT;IND;IPFV;PL	نَحْتَوِي
احتوى	V;1;ACT;IND;IPFV;SG	أَحْتَوِي
احتوى	V;1;ACT;IND;PL;PRF;PST	اِحْتَوَيْنَا
احتوى	V;1;ACT;IND;PRF;PST;SG	اِحْتَوَيْتُ
احتوى	V;1;ACT;JUS;PL	نَحْتَوِ
احتوى	V;1;ACT;JUS;SG	أَحْتَوِ
احتوى	V;1;IND;IPFV;PASS;PL	نُحْتَوَى
احتوى	V;1;IND;IPFV;PASS;SG	أُحْتَوَى
احتوى	V;1;IND;PASS;PL;PRF;PST	اُحْتُوِينَا
احتوى	V;1;IND;PASS;PRF;PST;SG	اُحْتُوِيتُ
احتوى	V;1;JUS;PASS;PL	نُحْتَوَ
احتوى	V;1;JUS;PASS;SG	أُحْتَوَ
احتوى	V;1;PASS;PL;SBJV	نُحْتَوَى
احتوى	V;1;PASS;SBJV;SG	أُحْتَوَى
احتوى	V;2;ACT;FEM;IMP;PL	اِحْتَوِينَ
احتوى	V;2;ACT;FEM;IMP;SG	اِحْتَوِي
احتوى	V;2;ACT;FEM;IND;IPFV;PL	تَحْتَوِينَ
احتوى	V;2;ACT;FEM;IND;IPFV;SG	تَحْتَوِينَ
احتوى	V;2;ACT;FEM;IND;PL;PRF;PST	اِحْتَوَيْتُنَّ
احتوى	V;2;ACT;FEM;IND;PRF;PST;SG	اِحْتَوَيْتِ
احتوى	V;2;ACT;FEM;JUS;PL	تَحْتَوِينَ
احتوى	V;2;ACT;FEM;JUS;SG	تَحْتَوِي
احتوى	V;2;ACT;FEM;PL;SBJV	تَحْتَوِينَ
احتوى	V;2;ACT;FEM;SBJV;SG	تَحْتَوِي
احتوى	V;2;ACT;IMP;MASC;PL	اِحْتَوُوا
احتوى	V;2;ACT;IMP;MASC;SG	اِحْتَوِ
احتوى	V;2;ACT;IND;IPFV;MASC;PL	تَحْتَوُونَ
احتوى	V;2;ACT;IND;IPFV;MASC;SG	تَحْتَوِي
احتوى	V;2;ACT;IND;MASC;PL;PRF;PST	اِحْتَوَيْتُمْ
احتوى	V;2;ACT;IND;MASC;PRF;PST;SG	اِحْتَوَيْتَ
احتوى	V;2;ACT;JUS;MASC;PL	تَحْتَوُوا
احتوى	V;2;ACT;JUS;MASC;SG	تَحْتَوِ
احتوى	V;2;ACT;MASC;PL;SBJV	تَحْتَوُوا
احتوى	V;2;FEM;IND;IPFV;PASS;PL	تُحْتَوَيْنَ
احتوى	V;2;FEM;IND;IPFV;PASS;SG	تُحْتَوَيْنَ
احتوى	V;2;FEM;IND;PASS;PL;PRF;PST	اُحْتُوِيتُنَّ
احتوى	V;2;FEM;IND;PASS;PRF;PST;SG	اُحْتُوِيتِ
احتوى	V;2;FEM;JUS;PASS;PL	تُحْتَوَيْنَ
احتوى	V;2;FEM;JUS;PASS;SG	تُحْتَوَيْ
احتوى	V;2;FEM;PASS;PL;SBJV	تُحْتَوَيْنَ
احتوى	V;2;FEM;PASS;SBJV;SG	تُحْتَوَيْ
احتوى	V;2;IND;IPFV;MASC;PASS;PL	تُحْتَوَوْنَ
احتوى	V;2;IND;IPFV;MASC;PASS;SG	تُحْتَوَى
احتوى	V;2;IND;MASC;PASS;PL;PRF;PST	اُحْتُوِيتُمْ
احتوى	V;2;IND;MASC;PASS;PRF;PST;SG	اُحْتُوِيتَ
احتوى	V;2;JUS;MASC;PASS;PL	تُحْتَوَوْا
احتوى	V;2;JUS;MASC;PASS;SG	تُحْتَوَ
احتوى	V;2;MASC;PASS;PL;SBJV	تُحْتَوَوْا
احتوى	V;2;MASC;PASS;SBJV;SG	تُحْتَوَى
احتوى	V;3;ACT;DU;FEM;IND;PRF;PST	اِحْتَوَتَا
احتوى	V;3;ACT;DU;IND;MASC;PRF;PST	اِحْتَوَيَا
احتوى	V;3;ACT;FEM;IND;IPFV;PL	يَحْتَوِينَ
احتوى	V;3;ACT;FEM;IND;IPFV;SG	تَحْتَوِي
احتوى	V;3;ACT;FEM;IND;PL;PRF;PST	اِحْتَوَيْنَ
احتوى	V;3;ACT;FEM;IND;PRF;PST;SG	اِحْتَوَتْ
احتوى	V;3;ACT;FEM;JUS;PL	يَحْتَوِينَ
احتوى	V;3;ACT;FEM;JUS;SG	تَحْتَوِ
احتوى	V;3;ACT;FEM;PL;SBJV	يَحْتَوِينَ
احتوى	V;3;ACT;IND;IPFV;MASC;PL	يَحْتَوُونَ
احتوى	V;3;ACT;IND;IPFV;MASC;SG	يَحْتَوِي
احتوى	V;3;ACT;IND;MASC;PL;PRF;PST	اِحْتَوَوْا
احتوى	V;3;ACT;IND;MASC;PRF;PST;SG	اِحْتَوَى
احتوى	V;3;ACT;JUS;MASC;PL	يَحْتَوُوا
احتوى	V;3;ACT;JUS;MASC;SG	يَحْتَوِ
احتوى	V;3;ACT;MASC;PL;SBJV	يَحْتَوُوا
احتوى	V;3;DU;FEM;IND;IPFV;PASS	تُحْتَوَيَانِ
احتوى	V;3;DU;FEM;JUS;PASS	تُحْتَوَيَا
احتوى	V;3;DU;FEM;PASS;SBJV	تُحْتَوَيَا
احتوى	V;3;DU;IND;IPFV;MASC;PASS	يُحْتَوَيَانِ
احتوى	V;3;DU;JUS;MASC;PASS	يُحْتَوَيَا
احتوى	V;3;DU;MASC;PASS;SBJV	يُحْتَوَيَا
احتوى	V;3;FEM;IND;IPFV;PASS;PL	يُحْتَوَيْنَ
احتوى	V;3;FEM;IND;IPFV;PASS;SG	تُحْتَوَى
احتوى	V;3;FEM;IND;PASS;PL;PRF;PST	اُحْتُوِينَ
احتوى	V;3;FEM;JUS;PASS;PL	يُحْتَوَيْنَ
احتوى	V;3;FEM;JUS;PASS;SG	تُحْتَوَ
احتوى	V;3;FEM;PASS;PL;SBJV	يُحْتَوَيْنَ
احتوى	V;3;FEM;PASS;SBJV;SG	تُحْتَوَى
احتوى	V;3;IND;IPFV;MASC;PASS;PL	يُحْتَوَوْنَ
احتوى	V;3;IND;IPFV;MASC;PASS;SG	يُحْتَوَى
احتوى	V;3;IND;MASC;PASS;PL;PRF;PST	اُحْتُوُوا
احتوى	V;3;JUS;MASC;PASS;PL	يُحْتَوَوْا
احتوى	V;3;JUS;MASC;PASS;SG	يُحْتَوَ
احتوى	V;3;MASC;PASS;PL;SBJV	يُحْتَوَوْا
احتوى	V;3;MASC;PASS;SBJV;SG	يُحْتَوَى
استاء	V;1;ACT;IND;PL;PRF;PST	اِسْتَأْنَا
استاء	V;1;ACT;IND;PRF;PST;SG	اِسْتَأْتُ
استاء	V;1;ACT;JUS;PL	نَسْتَأْ
استاء	V;1;ACT;JUS;SG	أَسْتَأْ
استاء	V;2;ACT;FEM;IMP;PL	اِسْتَأْنَ
استاء	V;2;ACT;FEM;IMP;SG	اِسْتَائِي
استاء	V;2;ACT;FEM;IND;IPFV;PL	تَسْتَأْنَ
استاء	V;2;ACT;FEM;IND;IPFV;SG	تَسْتَائِينَ
استاء	V;2;ACT;FEM;IND;PL;PRF;PST	اِسْتَأْتُنَّ
استاء	V;2;ACT;FEM;IND;PRF;PST;SG	اِسْتَأْتِ
استاء	V;2;ACT;FEM;JUS;PL	تَسْتَأْنَ
استاء	V;2;ACT;FEM;JUS;SG	تَسْتَائِي
استاء	V;2;ACT;FEM;PL;SBJV	تَسْتَأْنَ
استاء	V;2;ACT;FEM;SBJV;SG	تَسْتَائِي
استاء	V;2;ACT;IMP;MASC;SG	اِسْتَأْ
استاء	V;2;ACT;IND;IPFV;MASC;PL	tastāʔūna
استاء	V;2;ACT;IND;MASC;PL;PRF;PST	اِسْتَأْتُمْ
استاء	V;2;ACT;IND;MASC;PRF;PST;SG	اِسْتَأْتَ
استاء	V;2;ACT;JUS;MASC;SG	تَسْتَأْ
استاء	V;3;ACT;FEM;IND;IPFV;PL	يَسْتَأْنَ
استاء	V;3;ACT;FEM;IND;PL;PRF;PST	اِسْتَأْنَ
استاء	V;3;ACT;FEM;JUS;PL	يَسْتَأْنَ
استاء	V;3;ACT;FEM;JUS;SG	تَسْتَأْ
استاء	V;3;ACT;FEM;PL;SBJV	يَسْتَأْنَ
استاء	V;3;ACT;IND;IPFV;MASC;PL	yastāʔūna
استاء	V;3;ACT;IND;MASC;PL;PRF;PST	istāʔū
استاء	V;3;ACT;JUS;MASC;SG	يَسْتَأْ
استاء	V;3;JUS;MASC;PASS;SG	يُسْتَأْ
استحيا	V;1;ACT;IND;IPFV;PL	نَسْتَحْيِي
استحيا	V;1;ACT;IND;IPFV;SG	أَسْتَحْيِي
استحيا	V;1;ACT;IND;PL;PRF;PST	اِسْتَحْيَيْنَا
استحيا	V;1;ACT;IND;PRF;PST;SG	اِسْتَحْيَيْتُ
استحيا	V;1;ACT;JUS;PL	نَسْتَحْيِ
استحيا	V;1;ACT;JUS;SG	أَسْتَحْيِ
استحيا	V;1;IND;IPFV;PASS;PL	نُسْتَحْيَا
استحيا	V;1;IND;IPFV;PASS;SG	أُسْتَحْيَا
استحيا	V;1;IND;PASS;PL;PRF;PST	اُسْتُحْيِينَا
استحيا	V;1;IND;PASS;PRF;PST;SG	اُسْتُحْيِيتُ
استحيا	V;1;JUS;PASS;PL	نُسْتَحْيَ
استحيا	V;1;JUS;PASS;SG	أُسْتَحْيَ
استحيا	V;1;PASS;PL;SBJV	نُسْتَحْيَا
استحيا	V;1;PASS;SBJV;SG	أُسْتَحْيَا
استحيا	V;2;ACT;FEM;IMP;PL	اِسْتَحْيِينَ
استحيا	V;2;ACT;FEM;IMP;SG	اِسْتَحْيِي
استحيا	V;2;ACT;FEM;IND;IPFV;PL	تَسْتَحْيِينَ
استحيا	V;2;ACT;FEM;IND;IPFV;SG	تَسْتَحْيِينَ
استحيا	V;2;ACT;FEM;IND;PL;PRF;PST	اِسْتَحْيَيْتُنَّ
استحيا	V;2;ACT;FEM;IND;PRF;PST;SG	اِسْتَحْيَيْتِ
استحيا	V;2;ACT;FEM;JUS;PL	تَسْتَحْيِينَ
استحيا	V;2;ACT;FEM;JUS;SG	تَسْتَحْيِي
استحيا	V;2;ACT;FEM;PL;SBJV	تَسْتَحْيِينَ
استحيا	V;2;ACT;FEM;SBJV;SG	تَسْتَحْيِي
استحيا	V;2;ACT;IMP;MASC;PL	اِسْتَحْيُوا
استحيا	V;2;ACT;IMP;MASC;SG	اِسْتَحْيِ
استحيا	V;2;ACT;IND;IPFV;MASC;PL	تَسْتَحْيُونَ
استحيا	V;2;ACT;IND;IPFV;MASC;SG	تَسْتَحْيِي
استحيا	V;2;ACT;IND;MASC;PL;PRF;PST	اِسْتَحْيَيْتُمْ
استحيا	V;2;ACT;IND;MASC;PRF;PST;SG	اِسْتَحْيَيْتَ
استحيا	V;2;ACT;JUS;MASC;PL	تَسْتَحْيُوا
استحيا	V;2;ACT;JUS;MASC;SG	تَسْتَحْيِ
استحيا	V;2;ACT;MASC;PL;SBJV	تَسْتَحْيُوا
استحيا	V;2;FEM;IND;IPFV;PASS;PL	تُسْتَحْيَيْنَ
استحيا	V;2;FEM;IND;IPFV;PASS;SG	تُسْتَحْيَيْنَ
استحيا	V;2;FEM;IND;PASS;PL;PRF;PST	اُسْتُحْيِيتُنَّ
استحيا	V;2;FEM;IND;PASS;PRF;PST;SG	اُسْتُحْيِيتِ
استحيا	V;2;FEM;JUS;PASS;PL	تُسْتَحْيَيْنَ
استحيا	V;2;FEM;JUS;PASS;SG	تُسْتَحْيَيْ
استحيا	V;2;FEM;PASS;PL;SBJV	تُسْتَحْيَيْنَ
استحيا	V;2;FEM;PASS;SBJV;SG	تُسْتَحْيَيْ
استحيا	V;2;IND;IPFV;MASC;PASS;PL	تُسْتَحْيَوْنَ
استحيا	V;2;IND;IPFV;MASC;PASS;SG	تُسْتَحْيَا
استحيا	V;2;IND;MASC;PASS;PL;PRF;PST	اُسْتُحْيِيتُمْ
استحيا	V;2;IND;MASC;PASS;PRF;PST;SG	اُسْتُحْيِيتَ
استحيا	V;2;JUS;MASC;PASS;PL	تُسْتَحْيَوْا
استحيا	V;2;JUS;MASC;PASS;SG	تُسْتَحْيَ
استحيا	V;2;MASC;PASS;PL;SBJV	تُسْتَحْيَوْا
استحيا	V;2;MASC;PASS;SBJV;SG	تُسْتَحْيَا
استحيا	V;3;ACT;DU;FEM;IND;PRF;PST	اِسْتَحْيَتَا
استحيا	V;3;ACT;DU;IND;MASC;PRF;PST	اِسْتَحْيَيَا
استحيا	V;3;ACT;FEM;IND;IPFV;PL	يَسْتَحْيِينَ
استحيا	V;3;ACT;FEM;IND;IPFV;SG	تَسْتَحْيِي
استحيا	V;3;ACT;FEM;IND;PL;PRF;PST	اِسْتَحْيَيْنَ
استحيا	V;3;ACT;FEM;IND;PRF;PST;SG	اِسْتَحْيَتْ
استحيا	V;3;ACT;FEM;JUS;PL	يَسْتَحْيِينَ
استحيا	V;3;ACT;FEM;JUS;SG	تَسْتَحْيِ
استحيا	V;3;ACT;FEM;PL;SBJV	يَسْتَحْيِينَ
استحيا	V;3;ACT;IND;IPFV;MASC;PL	يَسْتَحْيُونَ
استحيا	V;3;ACT;IND;IPFV;MASC;SG	يَسْتَحْيِي
استحيا	V;3;ACT;IND;MASC;PL;PRF;PST	اِسْتَحْيَوْا
استحيا	V;3;ACT;IND;MASC;PRF;PST;SG	اِسْتَحْيَا
استحيا	V;3;ACT;JUS;MASC;PL	يَسْتَحْيُوا
استحيا	V;3;ACT;JUS;MASC;SG	يَسْتَحْيِ
استحيا	V;3;ACT;MASC;PL;SBJV	يَسْتَحْيُوا
استحيا	V;3;DU;FEM;IND;IPFV;PASS	تُسْتَحْيَيَانِ
استحيا	V;3;DU;FEM;JUS;PASS	تُسْتَحْيَيَا
استحيا	V;3;DU;FEM;PASS;SBJV	تُسْتَحْيَيَا
استحيا	V;3;DU;IND;IPFV;MASC;PASS	يُسْتَحْيَيَانِ
استحيا	V;3;DU;JUS;MASC;PASS	يُسْتَحْيَيَا
استحيا	V;3;DU;MASC;PASS;SBJV	يُسْتَحْيَيَا
استحيا	V;3;FEM;IND;IPFV;PASS;PL	يُسْتَحْيَيْنَ
استحيا	V;3;FEM;IND;IPFV;PASS;SG	تُسْتَحْيَا
استحيا	V;3;FEM;IND;PASS;PL;PRF;PST	اُسْتُحْيِينَ
استحيا	V;3;FEM;JUS;PASS;PL	يُسْتَحْيَيْنَ
استحيا	V;3;FEM;JUS;PASS;SG	تُسْتَحْيَ
استحيا	V;3;FEM;PASS;PL;SBJV	يُسْتَحْيَيْنَ
