# Oracle disagreements for Hindi (kaikki ∩ UniMorph).
#
# Every row here is one systematic UniMorph hin defect: for a subset
# of lemmas it forms the perfective participle and the vowel-initial
# subjunctive/imperative endings with an independent vowel spliced
# onto the consonant stem (बनऊं, बनया, बनइए) instead of the matra the
# grammar requires (बनूं, बना, बनिए). kaikki.org spells them
# correctly, so every disagreement is ruled o1 (first oracle = kaikki).
# The engine follows kaikki.
#
# lemma	features	resolution	o1(kaikki)	o2(unimorph)
अंगारा बनना	V;3;PL;PRF;LGSPEC4;FEM	o1	अंगारा बनी होती	अंगारा बनई होती
अंगारा बनना	V;3;PL;PRF;LGSPEC4;MASC	o1	अंगारा बने होते	अंगारा बनए होते
अंगारा बनना	V;3;PL;PRF;PRS;FEM	o1	अंगारा बनी हैं	अंगारा बनई हैं
अंगारा बनना	V;3;PL;PRF;PRS;MASC	o1	अंगारा बने हैं	अंगारा बनए हैं
अंगारा बनना	V;3;PL;PRF;PST;FEM	o1	अंगारा बनी थी	अंगारा बनई थी
अंगारा बनना	V;3;PL;PRF;PST;MASC	o1	अंगारा बने थे	अंगारा बनए थे
अंगारा बनना	V;3;PL;PRF;SBJV;FEM	o1	अंगारा बनी हों	अंगारा बनई हों
अंगारा बनना	V;3;PL;PRF;SBJV;MASC	o1	अंगारा बने हों	अंगारा बनए हों
अंगारा बनना	V;3;PL;SBJV	o1	अंगारा बनें	अंगारा बनएं
अंगारा बनना	V;3;PL;SBJV;FEM	o1	अंगारा बनेंगी	अंगारा बनएंगी
अंगारा बनना	V;3;PL;SBJV;MASC	o1	अंगारा बनेंगे	अंगारा बनएंगे
अंगारा बनना	V;3;SG;PRF;LGSPEC3;FEM	o1	अंगारा बनी होगी	अंगारा बनई होगी
अंगारा बनना	V;3;SG;PRF;LGSPEC3;MASC	o1	अंगारा बना होगा	अंगारा बनया होगा
अंगारा बनना	V;3;SG;PRF;LGSPEC4;FEM	o1	अंगारा बनी होती	अंगारा बनई होती
अंगारा बनना	V;3;SG;PRF;LGSPEC4;MASC	o1	अंगारा बना होता	अंगारा बनया होता
अंगारा बनना	V;3;SG;PRF;PRS;FEM	o1	अंगारा बनी है	अंगारा बनई है
अंगारा बनना	V;3;SG;PRF;PRS;MASC	o1	अंगारा बना है	अंगारा बनया है
अंगारा बनना	V;3;SG;PRF;PST;FEM	o1	अंगारा बनी थी	अंगारा बनई थी
अंगारा बनना	V;3;SG;PRF;PST;MASC	o1	अंगारा बना था	अंगारा बनया था
अंगारा बनना	V;3;SG;PRF;SBJV;FEM	o1	अंगारा बनी हो	अंगारा बनई हो
अंगारा बनना	V;3;SG;PRF;SBJV;MASC	o1	अंगारा बना हो	अंगारा बनया हो
अंगारा बनना	V;3;SG;SBJV	o1	अंगारा बने	अंगारा बनए
अंगारा बनना	V;3;SG;SBJV;FEM	o1	अंगारा बनेगी	अंगारा बनएगी
अंगारा बनना	V;3;SG;SBJV;MASC	o1	अंगारा बनेगा	अंगारा बनएगा
अंगारा बनना	V;V.PTCP;FEM;PL;PFV	o1	अंगारा बनी	अंगारा बनयी
अंगारा बनना	V;V.PTCP;FEM;SG;PFV	o1	अंगारा बनी	अंगारा बनयी
अंगारा बनना	V;V.PTCP;MASC;PL;PFV	o1	अंगारा बने	अंगारा बनए
अंगारा बनना	V;V.PTCP;MASC;SG;PFV	o1	अंगारा बना	अंगारा बनया
अंगारा हो जाना	V;1;PL;PRF;LGSPEC3;FEM	o1	अंगारा हो गई होंगी	अंगारा हो जाई होंगी
अंगारा हो जाना	V;1;PL;PRF;LGSPEC3;MASC	o1	अंगारा हो गए होंगे	अंगारा हो जाए होंगे
अंगारा हो जाना	V;1;PL;PRF;LGSPEC4;FEM	o1	अंगारा हो गई होती	अंगारा हो जाई होती
अंगारा हो जाना	V;1;PL;PRF;LGSPEC4;MASC	o1	अंगारा हो गए होते	अंगारा हो जाए होते
अंगारा हो जाना	V;1;PL;PRF;PRS;FEM	o1	अंगारा हो गई हैं	अंगारा हो जाई हैं
अंगारा हो जाना	V;1;PL;PRF;PRS;MASC	o1	अंगारा हो गए हैं	अंगारा हो जाए हैं
अंगारा हो जाना	V;1;PL;PRF;PST;FEM	o1	अंगारा हो गई थी	अंगारा हो जाई थी
अंगारा हो जाना	V;1;PL;PRF;PST;MASC	o1	अंगारा हो गए थे	अंगारा हो जाए थे
अंगारा हो जाना	V;1;PL;PRF;SBJV;FEM	o1	अंगारा हो गई हों	अंगारा हो जाई हों
अंगारा हो जाना	V;1;PL;PRF;SBJV;MASC	o1	अंगारा हो गए हों	अंगारा हो जाए हों
अंगारा हो जाना	V;1;SG;PRF;LGSPEC3;FEM	o1	अंगारा हो गई हूंगी	अंगारा हो जाई हूंगी
अंगारा हो जाना	V;1;SG;PRF;LGSPEC3;MASC	o1	अंगारा हो गया हूंगा	अंगारा हो जाया हूंगा
अंगारा हो जाना	V;1;SG;PRF;LGSPEC4;FEM	o1	अंगारा हो गई होती	अंगारा हो जाई होती
अंगारा हो जाना	V;1;SG;PRF;LGSPEC4;MASC	o1	अंगारा हो गया होता	अंगारा हो जाया होता
अंगारा हो जाना	V;1;SG;PRF;PRS;FEM	o1	अंगारा हो गई हूं	अंगारा हो जाई हूं
अंगारा हो जाना	V;1;SG;PRF;PRS;MASC	o1	अंगारा हो गया हूं	अंगारा हो जाया हूं
अंगारा हो जाना	V;1;SG;PRF;PST;FEM	o1	अंगारा हो गई थी	अंगारा हो जाई थी
अंगारा हो जाना	V;1;SG;PRF;PST;MASC	o1	अंगारा हो गया था	अंगारा हो जाया था
अंगारा हो जाना	V;1;SG;PRF;SBJV;FEM	o1	अंगारा हो गई हूं	अंगारा हो जाई हूं
अंगारा हो जाना	V;1;SG;PRF;SBJV;MASC	o1	अंगारा हो गया हूं	अंगारा हो जाया हूं
अंगारा हो जाना	V;2;PL;PRF;LGSPEC3;FEM	o1	अंगारा हो गई होगी	अंगारा हो जाई होगी
अंगारा हो जाना	V;2;PL;PRF;LGSPEC3;MASC	o1	अंगारा हो गए होगे	अंगारा हो जाए होगे
अंगारा हो जाना	V;2;PL;PRF;LGSPEC4;MASC	o1	अंगारा हो गए होते	अंगारा हो जाए होते
अंगारा हो जाना	V;2;PL;PRF;PRS;FEM	o1	अंगारा हो गई हो	अंगारा हो जाई हो
अंगारा हो जाना	V;2;PL;PRF;PRS;MASC	o1	अंगारा हो गए हो	अंगारा हो जाए हो
अंगारा हो जाना	V;2;PL;PRF;PST;MASC	o1	अंगारा हो गए थे	अंगारा हो जाए थे
अंगारा हो जाना	V;2;PL;PRF;SBJV;FEM	o1	अंगारा हो गई हो	अंगारा हो जाई हो
अंगारा हो जाना	V;2;PL;PRF;SBJV;MASC	o1	अंगारा हो गए हो	अंगारा हो जाए हो
अंगारा हो जाना	V;2;SG;PRF;LGSPEC3;FEM	o1	अंगारा हो गई होगी	अंगारा हो जाई होगी
अंगारा हो जाना	V;2;SG;PRF;LGSPEC3;MASC	o1	अंगारा हो गया होगा	अंगारा हो जाया होगा
अंगारा हो जाना	V;2;SG;PRF;LGSPEC4;FEM	o1	अंगारा हो गई होती	अंगारा हो जाई होती
अंगारा हो जाना	V;2;SG;PRF;LGSPEC4;MASC	o1	अंगारा हो गया होता	अंगारा हो जाया होता
अंगारा हो जाना	V;2;SG;PRF;PRS;FEM	o1	अंगारा हो गई है	अंगारा हो जाई है
अंगारा हो जाना	V;2;SG;PRF;PRS;MASC	o1	अंगारा हो गया है	अंगारा हो जाया है
अंगारा हो जाना	V;2;SG;PRF;PST;FEM	o1	अंगारा हो गई थी	अंगारा हो जाई थी
अंगारा हो जाना	V;2;SG;PRF;PST;MASC	o1	अंगारा हो गया था	अंगारा हो जाया था
अंगारा हो जाना	V;2;SG;PRF;SBJV;FEM	o1	अंगारा हो गई हो	अंगारा हो जाई हो
अंगारा हो जाना	V;2;SG;PRF;SBJV;MASC	o1	अंगारा हो गया हो	अंगारा हो जाया हो
अंगारा हो जाना	V;3;PL;PRF;LGSPEC3;FEM	o1	अंगारा हो गई होंगी	अंगारा हो जाई होंगी
अंगारा हो जाना	V;3;PL;PRF;LGSPEC3;MASC	o1	अंगारा हो गए होंगे	अंगारा हो जाए होंगे
अंगारा हो जाना	V;3;PL;PRF;LGSPEC4;FEM	o1	अंगारा हो गई होती	अंगारा हो जाई होती
अंगारा हो जाना	V;3;PL;PRF;LGSPEC4;MASC	o1	अंगारा हो गए होते	अंगारा हो जाए होते
अंगारा हो जाना	V;3;PL;PRF;PRS;FEM	o1	अंगारा हो गई हैं	अंगारा हो जाई हैं
अंगारा हो जाना	V;3;PL;PRF;PRS;MASC	o1	अंगारा हो गए हैं	अंगारा हो जाए हैं
अंगारा हो जाना	V;3;PL;PRF;PST;FEM	o1	अंगारा हो गई थी	अंगारा हो जाई थी
अंगारा हो जाना	V;3;PL;PRF;PST;MASC	o1	अंगारा हो गए थे	अंगारा हो जाए थे
अंगारा हो जाना	V;3;PL;PRF;SBJV;FEM	o1	अंगारा हो गई हों	अंगारा हो जाई हों
अंगारा हो जाना	V;3;PL;PRF;SBJV;MASC	o1	अंगारा हो गए हों	अंगारा हो जाए हों
अंगारा हो जाना	V;3;SG;PRF;LGSPEC3;FEM	o1	अंगारा हो गई होगी	अंगारा हो जाई होगी
अंगारा हो जाना	V;3;SG;PRF;LGSPEC3;MASC	o1	अंगारा हो गया होगा	अंगारा हो जाया होगा
अंगारा हो जाना	V;3;SG;PRF;LGSPEC4;FEM	o1	अंगारा हो गई होती	अंगारा हो जाई होती
अंगारा हो जाना	V;3;SG;PRF;LGSPEC4;MASC	o1	अंगारा हो गया होता	अंगारा हो जाया होता
अंगारा हो जाना	V;3;SG;PRF;PRS;FEM	o1	अंगारा हो गई है	अंगारा हो जाई है
अंगारा हो जाना	V;3;SG;PRF;PRS;MASC	o1	अंगारा हो गया है	अंगारा हो जाया है
अंगारा हो जाना	V;3;SG;PRF;PST;FEM	o1	अंगारा हो गई थी	अंगारा हो जाई थी
अंगारा हो जाना	V;3;SG;PRF;PST;MASC	o1	अंगारा हो गया था	अंगारा हो जाया था
अंगारा हो जाना	V;3;SG;PRF;SBJV;FEM	o1	अंगारा हो गई हो	अंगारा हो जाई हो
अंगारा हो जाना	V;3;SG;PRF;SBJV;MASC	o1	अंगारा हो गया हो	अंगारा हो जाया हो
अंगारा होना	V;1;PL;PRF;LGSPEC3;FEM	o1	अंगारा हुई होंगी|अंगारा होंगी	अंगारा होई होंगी
अंगारा होना	V;1;PL;PRF;LGSPEC3;MASC	o1	अंगारा हुए होंगे|अंगारा होंगे	अंगारा होए होंगे
अंगारा होना	V;1;PL;PRF;LGSPEC4;FEM	o1	अंगारा हुई होती|अंगारा होती	अंगारा होई होती
अंगारा होना	V;1;PL;PRF;LGSPEC4;MASC	o1	अंगारा हुए होते|अंगारा होते	अंगारा होए होते
अंगारा होना	V;1;PL;PRF;PRS;FEM	o1	अंगारा हुई हैं	अंगारा होई हैं
अंगारा होना	V;1;PL;PRF;PRS;MASC	o1	अंगारा हुए हैं|अंगारा हैं	अंगारा होए हैं
अंगारा होना	V;1;PL;PRF;PST;FEM	o1	अंगारा हुई थी	अंगारा होई थी
अंगारा होना	V;1;PL;PRF;PST;MASC	o1	अंगारा हुए थे	अंगारा होए थे
अंगारा होना	V;1;PL;PRF;SBJV;FEM	o1	अंगारा हुई हों	अंगारा होई हों
अंगारा होना	V;1;PL;PRF;SBJV;MASC	o1	अंगारा हुए हों|अंगारा हों	अंगारा होए हों
अंगारा होना	V;1;SG;PRF;LGSPEC3;FEM	o1	अंगारा हुई हूंगी|अंगारा हूंगी	अंगारा होई हूंगी
अंगारा होना	V;1;SG;PRF;LGSPEC3;MASC	o1	अंगारा हुआ हूंगा|अंगारा हूंगा	अंगारा होया हूंगा
अंगारा होना	V;1;SG;PRF;LGSPEC4;FEM	o1	अंगारा हुई होती|अंगारा होती	अंगारा होई होती
अंगारा होना	V;1;SG;PRF;LGSPEC4;MASC	o1	अंगारा हुआ होता|अंगारा होता	अंगारा होया होता
अंगारा होना	V;1;SG;PRF;PRS;FEM	o1	अंगारा हुई हूं	अंगारा होई हूं
अंगारा होना	V;1;SG;PRF;PRS;MASC	o1	अंगारा हुआ हूं|अंगारा हूं	अंगारा होया हूं
अंगारा होना	V;1;SG;PRF;PST;FEM	o1	अंगारा हुई थी	अंगारा होई थी
अंगारा होना	V;1;SG;PRF;PST;MASC	o1	अंगारा हुआ था	अंगारा होया था
अंगारा होना	V;1;SG;PRF;SBJV;FEM	o1	अंगारा हुई हूं	अंगारा होई हूं
अंगारा होना	V;1;SG;PRF;SBJV;MASC	o1	अंगारा हुआ हूं|अंगारा हूं	अंगारा होया हूं
अंगारा होना	V;2;PL;PRF;LGSPEC3;FEM	o1	अंगारा हुई होगी|अंगारा होगी	अंगारा होई होगी
अंगारा होना	V;2;PL;PRF;LGSPEC3;MASC	o1	अंगारा हुए होगे|अंगारा होगे	अंगारा होए होगे
अंगारा होना	V;2;PL;PRF;LGSPEC4;MASC	o1	अंगारा हुए होते|अंगारा होते	अंगारा होए होते
अंगारा होना	V;2;PL;PRF;PRS;FEM	o1	अंगारा हुई हो	अंगारा होई हो
अंगारा होना	V;2;PL;PRF;PRS;MASC	o1	अंगारा हुए हो|अंगारा हो	अंगारा होए हो
अंगारा होना	V;2;PL;PRF;PST;MASC	o1	अंगारा हुए थे	अंगारा होए थे
अंगारा होना	V;2;PL;PRF;SBJV;FEM	o1	अंगारा हुई हो	अंगारा होई हो
अंगारा होना	V;2;PL;PRF;SBJV;MASC	o1	अंगारा हुए हो|अंगारा हो	अंगारा होए हो
अंगारा होना	V;2;SG;PRF;LGSPEC3;FEM	o1	अंगारा हुई होगी|अंगारा होगी	अंगारा होई होगी
अंगारा होना	V;2;SG;PRF;LGSPEC3;MASC	o1	अंगारा हुआ होगा|अंगारा होगा	अंगारा होया होगा
अंगारा होना	V;2;SG;PRF;LGSPEC4;FEM	o1	अंगारा हुई होती|अंगारा होती	अंगारा होई होती
अंगारा होना	V;2;SG;PRF;LGSPEC4;MASC	o1	अंगारा हुआ होता|अंगारा होता	अंगारा होया होता
अंगारा होना	V;2;SG;PRF;PRS;FEM	o1	अंगारा हुई है	अंगारा होई है
अंगारा होना	V;2;SG;PRF;PRS;MASC	o1	अंगारा हुआ है|अंगारा है	अंगारा होया है
अंगारा होना	V;2;SG;PRF;PST;FEM	o1	अंगारा हुई थी	अंगारा होई थी
अंगारा होना	V;2;SG;PRF;PST;MASC	o1	अंगारा हुआ था	अंगारा होया था
अंगारा होना	V;2;SG;PRF;SBJV;FEM	o1	अंगारा हुई हो	अंगारा होई हो
अंगारा होना	V;2;SG;PRF;SBJV;MASC	o1	अंगारा हुआ हो|अंगारा हो	अंगारा होया हो
अंगारा होना	V;3;PL;PRF;LGSPEC3;FEM	o1	अंगारा हुई होंगी|अंगारा होंगी	अंगारा होई होंगी
अंगारा होना	V;3;PL;PRF;LGSPEC3;MASC	o1	अंगारा हुए होंगे|अंगारा होंगे	अंगारा होए होंगे
अंगारा होना	V;3;PL;PRF;LGSPEC4;FEM	o1	अंगारा हुई होती|अंगारा होती	अंगारा होई होती
अंगारा होना	V;3;PL;PRF;LGSPEC4;MASC	o1	अंगारा हुए होते|अंगारा होते	अंगारा होए होते
अंगारा होना	V;3;PL;PRF;PRS;FEM	o1	अंगारा हुई हैं	अंगारा होई हैं
अंगारा होना	V;3;PL;PRF;PRS;MASC	o1	अंगारा हुए हैं|अंगारा हैं	अंगारा होए हैं
अंगारा होना	V;3;PL;PRF;PST;FEM	o1	अंगारा हुई थी	अंगारा होई थी
अंगारा होना	V;3;PL;PRF;PST;MASC	o1	अंगारा हुए थे	अंगारा होए थे
अंगारा होना	V;3;PL;PRF;SBJV;FEM	o1	अंगारा हुई हों	अंगारा होई हों
अंगारा होना	V;3;PL;PRF;SBJV;MASC	o1	अंगारा हुए हों|अंगारा हों	अंगारा होए हों
अंगारा होना	V;3;SG;PRF;LGSPEC3;FEM	o1	अंगारा हुई होगी|अंगारा होगी	अंगारा होई होगी
अंगारा होना	V;3;SG;PRF;LGSPEC3;MASC	o1	अंगारा हुआ होगा|अंगारा होगा	अंगारा होया होगा
अंगारा होना	V;3;SG;PRF;LGSPEC4;FEM	o1	अंगारा हुई होती|अंगारा होती	अंगारा होई होती
अंगारा होना	V;3;SG;PRF;LGSPEC4;MASC	o1	अंगारा हुआ होता|अंगारा होता	अंगारा होया होता
अंगारा होना	V;3;SG;PRF;PRS;FEM	o1	अंगारा हुई है	अंगारा होई है
अंगारा होना	V;3;SG;PRF;PRS;MASC	o1	अंगारा हुआ है|अंगारा है	अंगारा होया है
अंगारा होना	V;3;SG;PRF;PST;FEM	o1	अंगारा हुई थी	अंगारा होई थी
अंगारा होना	V;3;SG;PRF;PST;MASC	o1	अंगारा हुआ था	अंगारा होया था
अंगारा होना	V;3;SG;PRF;SBJV;FEM	o1	अंगारा हुई हो	अंगारा होई हो
अंगारा होना	V;3;SG;PRF;SBJV;MASC	o1	अंगारा हुआ हो|अंगारा हो	अंगारा होया हो
अंगारा होना	V;V.PTCP;FEM;PL;PFV	o1	अंगारा हुई	अंगारा होई
अंगारा होना	V;V.PTCP;FEM;SG;PFV	o1	अंगारा हुई	अंगारा होई
अंगारा होना	V;V.PTCP;MASC;PL;PFV	o1	अंगारा हुए	अंगारा होए
अंगारा होना	V;V.PTCP;MASC;SG;PFV	o1	अंगारा हुआ	अंगारा होया
अंगारे उगलना	V;1;PL;PRF;LGSPEC3;FEM	o1	अंगारे उगली होंगी	अंगारे उगलई होंगी
अंगारे उगलना	V;1;PL;PRF;LGSPEC3;MASC	o1	अंगारे उगले होंगे	अंगारे उगलए होंगे
अंगारे उगलना	V;1;PL;PRF;LGSPEC4;FEM	o1	अंगारे उगली होती	अंगारे उगलई होती
अंगारे उगलना	V;1;PL;PRF;LGSPEC4;MASC	o1	अंगारे उगले होते	अंगारे उगलए होते
अंगारे उगलना	V;1;PL;PRF;PRS;FEM	o1	अंगारे उगली हैं	अंगारे उगलई हैं
अंगारे उगलना	V;1;PL;PRF;PRS;MASC	o1	अंगारे उगले हैं	अंगारे उगलए हैं
अंगारे उगलना	V;1;PL;PRF;PST;FEM	o1	अंगारे उगली थी	अंगारे उगलई थी
अंगारे उगलना	V;1;PL;PRF;PST;MASC	o1	अंगारे उगले थे	अंगारे उगलए थे
अंगारे उगलना	V;1;PL;PRF;SBJV;FEM	o1	अंगारे उगली हों	अंगारे उगलई हों
अंगारे उगलना	V;1;PL;PRF;SBJV;MASC	o1	अंगारे उगले हों	अंगारे उगलए हों
अंगारे उगलना	V;1;PL;SBJV	o1	अंगारे उगलें	अंगारे उगलएं
अंगारे उगलना	V;1;PL;SBJV;FEM	o1	अंगारे उगलेंगी	अंगारे उगलएंगी
अंगारे उगलना	V;1;PL;SBJV;MASC	o1	अंगारे उगलेंगे	अंगारे उगलएंगे
अंगारे उगलना	V;1;SG;PRF;LGSPEC3;FEM	o1	अंगारे उगली हूंगी	अंगारे उगलई हूंगी
अंगारे उगलना	V;1;SG;PRF;LGSPEC3;MASC	o1	अंगारे उगला हूंगा	अंगारे उगलया हूंगा
अंगारे उगलना	V;1;SG;PRF;LGSPEC4;FEM	o1	अंगारे उगली होती	अंगारे उगलई होती
अंगारे उगलना	V;1;SG;PRF;LGSPEC4;MASC	o1	अंगारे उगला होता	अंगारे उगलया होता
अंगारे उगलना	V;1;SG;PRF;PRS;FEM	o1	अंगारे उगली हूं	अंगारे उगलई हूं
अंगारे उगलना	V;1;SG;PRF;PRS;MASC	o1	अंगारे उगला हूं	अंगारे उगलया हूं
अंगारे उगलना	V;1;SG;PRF;PST;FEM	o1	अंगारे उगली थी	अंगारे उगलई थी
अंगारे उगलना	V;1;SG;PRF;PST;MASC	o1	अंगारे उगला था	अंगारे उगलया था
अंगारे उगलना	V;1;SG;PRF;SBJV;FEM	o1	अंगारे उगली हूं	अंगारे उगलई हूं
अंगारे उगलना	V;1;SG;PRF;SBJV;MASC	o1	अंगारे उगला हूं	अंगारे उगलया हूं
अंगारे उगलना	V;1;SG;SBJV	o1	अंगारे उगलूं	अंगारे उगलऊं
अंगारे उगलना	V;1;SG;SBJV;FEM	o1	अंगारे उगलूंगी	अंगारे उगलऊंगी
अंगारे उगलना	V;1;SG;SBJV;MASC	o1	अंगारे उगलूंगा	अंगारे उगलऊंगा
अंगारे उगलना	V;2;PL;IMP;FORM	o1	अंगारे उगलिए	अंगारे उगलइए
अंगारे उगलना	V;2;PL;PRF;LGSPEC3;FEM	o1	अंगारे उगली होगी	अंगारे उगलई होगी
अंगारे उगलना	V;2;PL;PRF;LGSPEC3;MASC	o1	अंगारे उगले होगे	अंगारे उगलए होगे
अंगारे उगलना	V;2;PL;PRF;LGSPEC4;MASC	o1	अंगारे उगले होते	अंगारे उगलए होते
अंगारे उगलना	V;2;PL;PRF;PRS;FEM	o1	अंगारे उगली हो	अंगारे उगलई हो
अंगारे उगलना	V;2;PL;PRF;PRS;MASC	o1	अंगारे उगले हो	अंगारे उगलए हो
अंगारे उगलना	V;2;PL;PRF;PST;MASC	o1	अंगारे उगले थे	अंगारे उगलए थे
अंगारे उगलना	V;2;PL;PRF;SBJV;FEM	o1	अंगारे उगली हो	अंगारे उगलई हो
अंगारे उगलना	V;2;PL;PRF;SBJV;MASC	o1	अंगारे उगले हो	अंगारे उगलए हो
अंगारे उगलना	V;2;PL;SBJV	o1	अंगारे उगलो	अंगारे उगलओ
