# lemma	features	resolution	note
# resolution: variant | o1 (apertium-mkd) | o2 (UniMorph mkd) | neither.
# Bucketed rulings; see docs/mkd/oracles.md for the systematic patterns.
воспоставува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
војува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
вперува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
вработува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
врзува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
врти	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
гарантира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
гладува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
гласа	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
гледа	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
грабнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
гради	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
гребе	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
гребе	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
губи	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
дава	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
движи	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
дели	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
делува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
дефинира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
дејствува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
дискутира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
дише	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
добива	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
добие	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
доближува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
доведува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
доверува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
довршува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
додава	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
доживее	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
доживее	V;PST;1;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
доживее	V;PST;1;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
доживее	V;PST;2;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
доживее	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
доживее	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
доживува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
дозволува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
докажува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
должи	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
доминира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
достигнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
дојде	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
држи	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
држи	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
дува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
жали	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
жали	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
живее	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
жртвува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
забавува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
забележува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
забранува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
забрзува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
зависи	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
завршува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
загадува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
загрижува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
загрозува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
задава	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
задоволува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
задржува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
закажува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
заклучува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
закопува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
закупува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
залаже	V.PTCP;PST;FEM;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
залаже	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
залаже	V.PTCP;PST;NEUT;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
залаже	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
залаже	V.PTCP;PST;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
залаже	V;PST;1;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
залаже	V;PST;1;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
залаже	V;PST;2;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
залаже	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
залаже	V;PST;3;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
залаже	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
заложува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
заменува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
заминува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
замислува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
замрзнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
занемарува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
занимава	V.PTCP;PROG;PST;FEM;SG	o1	apertium form is the standard spelling
занимава	V.PTCP;PROG;PST;MASC;SG	o1	apertium form is the standard spelling
занимава	V.PTCP;PROG;PST;NEUT;SG	o1	apertium form is the standard spelling
занимава	V.PTCP;PROG;PST;PL	o1	apertium form is the standard spelling
заобиколува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
запишува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
заплашува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
запознае	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
запознае	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
заработува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
заразува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
заробува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
заслужува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
зајакне	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
зборува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
зголемува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
зема	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
знае	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
знае	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
знае	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
значи	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
игнорира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
игра	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
иде	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
избегнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
избие	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
избира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
избувнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
изведува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
известува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
изгледа	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
издржи	V.PTCP;PST;FEM;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
издржи	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
издржи	V.PTCP;PST;NEUT;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
издржи	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
издржи	V.PTCP;PST;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
издржи	V;PST;1;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
издржи	V;PST;1;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
издржи	V;PST;2;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
издржи	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
издржи	V;PST;3;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
издржи	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
издржува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
изедначува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
изискува	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
изискува	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
излаже	V.PTCP;PST;FEM;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
излаже	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
излаже	V.PTCP;PST;NEUT;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
излаже	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
излаже	V.PTCP;PST;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
излаже	V;PST;1;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
излаже	V;PST;1;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
излаже	V;PST;2;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
излаже	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
излаже	V;PST;3;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
излаже	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
излегува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
излезе	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
изнајде	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
изненадува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
изобличува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
изостава	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
изразува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
изрече	V.PTCP;PROG;PST;FEM;SG	o1	apertium form is the standard spelling
изрече	V.PTCP;PROG;PST;MASC;SG	o1	apertium form is the standard spelling
изрече	V.PTCP;PROG;PST;NEUT;SG	o1	apertium form is the standard spelling
изрече	V.PTCP;PROG;PST;PL	o1	apertium form is the standard spelling
изрече	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
изрече	V;PROG;PST;1;PL	o1	apertium form is the standard spelling
изрече	V;PROG;PST;1;SG	o1	apertium form is the standard spelling
изрече	V;PROG;PST;2;PL	o1	apertium form is the standard spelling
изрече	V;PROG;PST;2;SG	o1	apertium form is the standard spelling
изрече	V;PROG;PST;3;PL	o1	apertium form is the standard spelling
изрече	V;PROG;PST;3;SG	o1	apertium form is the standard spelling
изјавува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
инвестира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
инсистира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
исклучува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
искоренува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
искористи	V.PTCP;PST;FEM;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
искористи	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
искористи	V.PTCP;PST;NEUT;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
искористи	V.PTCP;PST;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
искористи	V;PST;1;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
искористи	V;PST;1;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
искористи	V;PST;2;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
искористи	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
искористи	V;PST;3;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
искористи	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
испита	V.PTCP;PROG;PST;FEM;SG	o1	apertium form is the standard spelling
испита	V.PTCP;PROG;PST;MASC;SG	o1	apertium form is the standard spelling
испита	V.PTCP;PROG;PST;NEUT;SG	o1	apertium form is the standard spelling
испита	V.PTCP;PROG;PST;PL	o1	apertium form is the standard spelling
испита	V;IMP;2;PL	o1	apertium form is the standard spelling
испита	V;IMP;2;SG	o1	apertium form is the standard spelling
испита	V;PROG;PST;1;PL	o1	apertium form is the standard spelling
испита	V;PROG;PST;1;SG	o1	apertium form is the standard spelling
испита	V;PROG;PST;2;PL	o1	apertium form is the standard spelling
испита	V;PROG;PST;2;SG	o1	apertium form is the standard spelling
испита	V;PROG;PST;3;PL	o1	apertium form is the standard spelling
испита	V;PROG;PST;3;SG	o1	apertium form is the standard spelling
испита	V;PRS;1;PL	o1	apertium form is the standard spelling
испита	V;PRS;2;PL	o1	apertium form is the standard spelling
испита	V;PRS;2;SG	o1	apertium form is the standard spelling
испита	V;PRS;3;PL	o1	apertium form is the standard spelling
испита	V;PRS;3;SG	o1	apertium form is the standard spelling
испитува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
исполнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
исправува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
исправува	V.PTCP;PROG;PST;FEM;SG	o1	apertium form is the standard spelling
исправува	V.PTCP;PROG;PST;MASC;SG	o1	apertium form is the standard spelling
исправува	V.PTCP;PROG;PST;NEUT;SG	o1	apertium form is the standard spelling
исправува	V.PTCP;PROG;PST;PL	o1	apertium form is the standard spelling
исправува	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
исправува	V;IMP;2;PL	o1	apertium form is the standard spelling
исправува	V;IMP;2;SG	o1	apertium form is the standard spelling
исправува	V;PROG;PST;1;PL	o1	apertium form is the standard spelling
исправува	V;PROG;PST;1;SG	o1	apertium form is the standard spelling
исправува	V;PROG;PST;2;PL	o1	apertium form is the standard spelling
исправува	V;PROG;PST;2;SG	o1	apertium form is the standard spelling
исправува	V;PROG;PST;3;PL	o1	apertium form is the standard spelling
исправува	V;PROG;PST;3;SG	o1	apertium form is the standard spelling
исправува	V;PRS;1;PL	o1	apertium form is the standard spelling
исправува	V;PRS;1;SG	o1	apertium form is the standard spelling
исправува	V;PRS;2;PL	o1	apertium form is the standard spelling
исправува	V;PRS;2;SG	o1	apertium form is the standard spelling
исправува	V;PRS;3;PL	o1	apertium form is the standard spelling
исправува	V;PRS;3;SG	o1	apertium form is the standard spelling
испрашува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
истакнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
истекува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
истече	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
истражува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
истребува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
исчезнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
кажува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
казнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
кандидира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
командува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
контролира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
конфискува	V;PST;2;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
конфискува	V;PST;3;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
копа	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
користи	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
крие	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
крие	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
критикува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
крунисува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
крши	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
лаже	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
лежи	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
лета	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
менува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
мие	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
мие	V;PROG;PST;3;PL	o2	j-stem: UniMorph correct (бројам-type), apertium over-regularizes
минува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
мисли	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
набројува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
набљудува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
наведе	V.PTCP;PST;FEM;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
наведе	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
наведе	V.PTCP;PST;NEUT;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
наведе	V.PTCP;PST;PL	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
навлезе	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
навредува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
нагласува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
наградува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
надгледува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
надминува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
намалува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
наметнува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
напредува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
напушта	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
наредува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
нарекува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
нарече	V.PTCP;PROG;PST;FEM;SG	o1	apertium form is the standard spelling
нарече	V.PTCP;PROG;PST;MASC;SG	o1	apertium form is the standard spelling
нарече	V.PTCP;PROG;PST;NEUT;SG	o1	apertium form is the standard spelling
нарече	V.PTCP;PROG;PST;PL	o1	apertium form is the standard spelling
нарече	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
нарече	V;PROG;PST;1;PL	o1	apertium form is the standard spelling
нарече	V;PROG;PST;1;SG	o1	apertium form is the standard spelling
нарече	V;PROG;PST;2;PL	o1	apertium form is the standard spelling
нарече	V;PROG;PST;2;SG	o1	apertium form is the standard spelling
нарече	V;PROG;PST;3;PL	o1	apertium form is the standard spelling
нарече	V;PROG;PST;3;SG	o1	apertium form is the standard spelling
населува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
насобира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
насочува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
настанува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
настапува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
настојува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
најде	V.PTCP;PST;MASC;SG	o1	aorist / aorist participle — out of engine scope; apertium clean, UniMorph has encoding noise
негира	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
негува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
носи	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
нуди	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
обвинува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
обединува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
обезбедува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
обелодени	V.PTCP;PST;PASS	variant	passive participle -ан/-ен both attested
обесхрабрува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
облекува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
обликува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
обновува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
обработува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
образложува	V.CVB	o1	apertium -јќи is the standard converb; UniMorph drops ќ→к
