# lemma	class (a-ez a-bare ea e i-esc i-bare ih-asc ih-bare)
corăbia	a-ez
covița	a-bare
covriga	a-bare
coîmprumuta	a-bare
crede	e
critica	a-bare
crucifica	a-bare
cruța	a-bare
cuantifica	a-bare
cucuriga	a-bare
cufrânge	e
cufunda	a-bare
culca	a-bare
culege	e
cultiva	a-bare
cuminica	a-bare
cununa	a-bare
cuprinde	e
curge	e
curma	a-bare
custa	a-bare
cutremura	a-bare
cânta	a-bare
cârliga	a-bare
câștiga	a-bare
căpăra	a-ez
cărâmba	a-bare
căta	a-ez
cățăra	a-ez
debarca	a-bare
decalcifica	a-bare
decide	e
deciurica	a-bare
declama	a-bare
declara	a-bare
declasifica	a-bare
declina	a-bare
decodifica	a-bare
decomanda	a-bare
decomprima	a-bare
deconspira	a-bare
decula	a-bare
decurge	e
dedica	a-bare
deduce	e
defalsifica	a-bare
deferi	i-bare
defige	e
degazeifica	a-bare
degazifica	a-bare
degelifica	a-bare
degusta	a-bare
deifica	a-bare
dejuca	a-ez
dejuga	a-bare
delica	a-bare
delătura	a-bare
demistifica	a-bare
demite	e
demitifica	a-bare
demultiplica	a-bare
demânda	a-bare
denazifica	a-bare
denitrifica	a-bare
densifica	a-bare
denunța	a-bare
depinde	e
depinge	e
deplânge	e
deprima	a-bare
deprinde	e
derdica	a-bare
derege	e
deretica	a-bare
derusifica	a-bare
derădica	a-bare
desbarca	a-bare
desbate	e
descalifica	a-bare
deschide	e
deschinga	a-bare
descinde	e
descinge	e
descrunta	a-bare
desculpa	a-bare
desculța	a-bare
descurca	a-bare
descânta	a-bare
descăiera	a-ez
descălca	a-ez
descălica	a-ez
desface	e
desfira	a-bare
desfunda	a-bare
desfășura	a-bare
desghina	a-bare
desghioca	a-bare
desgropa	a-bare
deshăma	a-ez
desica	a-bare
desjuca	a-ez
desjuga	a-bare
desmânta	a-bare
desnoda	a-bare
desofistica	a-bare
desolidifica	a-bare
despica	a-bare
despiedica	a-bare
despresura	a-bare
desprinde	e
despătura	a-bare
destinde	e
destruca	a-bare
destupa	a-bare
deszice	e
determina	a-bare
detoxica	a-bare
detoxifica	a-bare
detuna	a-bare
devira	a-bare
devitrifica	a-bare
dezacidifica	a-bare
dezafurca	a-bare
dezbate	e
dezbina	a-bare
dezbrăca	a-ez
dezbumba	a-bare
dezburda	a-bare
dezbăta	a-bare
dezghioca	a-bare
dezgropa	a-bare
dezgusta	a-bare
dezice	e
dezimplica	a-bare
dezinculpa	a-bare
dezinhiba	a-bare
dezintoxica	a-bare
dezleșina	a-bare
dezminți	i-esc
dezmânta	a-bare
deznina	a-bare
deznoda	a-ez
dezocupa	a-bare
dezzice	e
deșchide	e
deșertifica	a-bare
deșira	a-bare
deștinde	e
deștinge	e
deșăla	a-bare
difracta	a-bare
dihoca	a-bare
dirdica	a-bare
direge	e
diretica	a-bare
discalifica	a-bare
disculpa	a-bare
discuta	a-bare
disjunge	e
displăcea	e
disputa	a-bare
distinge	e
distrage	e
distruge	e
diversifica	a-bare
divulga	a-bare
domina	a-bare
dormi	i-bare
drege	e
dumica	a-bare
dumnica	a-bare
durduca	a-bare
durdulica	a-bare
durifica	a-bare
duriga	a-bare
durmi	i-esc
dăndăni	i-bare
dărma	a-bare
dărâma	a-bare
edifica	a-bare
educa	a-bare
electrifica	a-bare
electrocultiva	a-bare
elide	e
elimina	a-bare
emerge	e
emite	e
enunța	a-bare
erupe	e
escarifica	a-bare
esclama	a-bare
esclude	e
esplica	a-bare
esprima	a-bare
esterifica	a-bare
estinde	e
estrage	e
eterifica	a-bare
evita	a-bare
exclama	a-bare
exclude	e
excomunica	a-bare
excoria	a-ez
executa	a-bare
exemplifica	a-bare
exista	a-bare
expira	a-bare
explica	a-bare
exprima	a-bare
expurga	a-bare
extermina	a-bare
extinde	e
extrage	e
exulta	a-bare
ezita	a-bare
fabrica	a-bare
falsifica	a-bare
falșifica	a-bare
felicita	a-bare
ferica	a-bare
fericita	a-bare
fleorcăi	i-esc
fluidifica	a-bare
flutura	a-bare
fluștiura	a-bare
fluștura	a-bare
fornica	a-bare
fortifica	a-bare
frige	e
fructifica	a-bare
frânge	e
frământa	a-bare
fulgura	a-ez
fura	a-bare
furnica	a-bare
fâștica	a-bare
fărmăca	a-ez
fărâma	a-bare
gazeifica	a-bare
gazifica	a-bare
gelifica	a-bare
gerui	i-esc
gheura	a-ez
ghiontui	i-esc
glorifica	a-bare
gratifica	a-bare
grindina	a-bare
gripsăna	a-bare
grăpsăna	a-bare
grăpșina	a-bare
grăpțăna	a-bare
gudura	a-bare
guguța	a-bare
guița	a-bare
gunoia	a-ez
gusta	a-bare
gâdeli	i-bare
gâdila	a-bare
gâdili	i-bare
gâmba	a-bare
hlobăna	a-bare
horcăni	i-bare
huhura	a-bare
huiduca	a-bare
huița	a-bare
hurduca	a-bare
huzdupa	a-bare
huțuța	a-bare
hâțâna	a-bare
identifica	a-bare
imensifica	a-bare
imerge	e
imnifica	a-bare
implica	a-bare
imprima	a-bare
impurifica	a-bare
imputa	a-bare
incita	a-bare
inclina	a-bare
include	e
inculca	a-bare
inculpa	a-bare
incumba	a-bare
indica	a-bare
induce	e
infirma	a-bare
insista	a-bare
inspira	a-bare
instiga	a-bare
insulta	a-bare
intensifica	a-bare
interceda	a-ez
interfolia	a-ez
interschimba	a-bare
intervia	a-ez
interzice	e
intoxica	a-bare
intrica	a-bare
intriga	a-bare
introduce	e
inunda	a-bare
invita	a-bare
irita	a-bare
irumpe	e
irupe	e
judica	a-bare
jura	a-bare
justifica	a-bare
lemnifica	a-bare
leșina	a-bare
licura	a-bare
lignifica	a-bare
linge	e
lunga	a-bare
lupta	a-bare
lăpăda	a-ez
lătura	a-bare
malțifica	a-bare
masifica	a-bare
melița	a-bare
merita	a-bare
meriza	a-bare
mirosi	i-bare
mistifica	a-bare
mitifica	a-bare
mișuna	a-bare
modifica	a-bare
mortifica	a-bare
mucegăi	i-esc
mulge	e
multiplica	a-bare
mumifica	a-bare
murmura	a-bare
mursica	a-bare
muta	a-bare
mușina	a-bare
mâna	a-bare
mânca	a-bare
mânica	a-bare
mărita	a-bare
măsura	a-bare
mătura	a-bare
naufrânge	e
nazifica	a-bare
necesita	a-bare
neteza	a-ez
nești	i-esc
nimica	a-bare
ninge	e
nitrifica	a-bare
noda	a-bare
nostrifica	a-bare
notifica	a-bare
nulifica	a-bare
nutrica	a-bare
nălța	a-ez
obliga	a-bare
obârca	a-bare
octroia	a-ez
ocupa	a-bare
ocurge	e
omite	e
oprima	a-bare
osifica	a-bare
ozonifica	a-bare
pacifica	a-bare
panifica	a-bare
parcura	a-bare
parcurge	e
participa	a-bare
parveni	i-esc
pefuga	a-bare
permite	e
permuta	a-bare
pernica	a-bare
persecuta	a-bare
persista	a-bare
personifica	a-bare
petrece	e
petrifica	a-bare
pica	a-ez
picura	a-bare
piersica	a-bare
pietrifica	a-bare
pișa	a-bare
pițiga	a-bare
pițăra	a-bare
planifica	a-bare
plimba	a-bare
plânge	e
pocita	a-bare
poetifica	a-bare
policalifica	a-bare
pontifica	a-bare
pozitiva	a-bare
practica	a-bare
preacânta	a-bare
preaface	e
prealăuda	a-ez
preamânca	a-bare
preaplânge	e
prearădica	a-bare
precipita	a-bare
precomprima	a-bare
precurma	a-bare
predetermina	a-bare
predica	a-bare
preexista	a-bare
prefabrica	a-bare
preface	e
preferi	i-bare
prefira	a-bare
prefrământa	a-bare
pregusta	a-bare
preimprima	a-bare
prelinge	e
premerge	e
premite	e
premuta	a-bare
prenotifica	a-bare
preocupa	a-bare
prepara	a-bare
prepinge	e
prerumpe	e
prerupe	e
preschimba	a-bare
presimți	i-bare
presura	a-bare
pretinde	e
previnge	e
prezice	e
prezuma	a-bare
preîntâmpina	a-bare
președea	e
prești	i-esc
prinde	e
priostrica	a-bare
priotinde	e
privighea	e
procura	a-bare
prodiga	a-bare
produce	e
profita	a-bare
prolifica	a-bare
promite	e
promulga	a-bare
pronunța	a-bare
propaga	a-bare
prorupe	e
prospicia	a-ez
prostrânge	e
provoca	a-bare
prumuta	a-bare
prăda	a-ez
publica	a-bare
punge	e
pupa	a-bare
pupăza	a-bare
purcede	e
purcege	e
purica	a-bare
purifica	a-bare
pustia	a-ez
putrefia	a-ez
putrifica	a-bare
pârgui	i-esc
păfuga	a-bare
părechea	e
pătrunde	e
rabate	e
rade	e
rage	e
ramifica	a-bare
rarifica	a-bare
ratifica	a-bare
reabsorbi	i-bare
readmite	e
readormi	i-bare
readuce	e
readuna	a-bare
reafirma	a-bare
reajunge	e
realege	e
reambarca	a-bare
reaprinde	e
reapuca	a-bare
reapărea	e
reasculta	a-bare
reasigura	a-bare
reaudia	a-ez
reașeza	a-ez
rebate	e
rebonifica	a-bare
recalifica	a-bare
recircula	a-bare
recita	a-bare
reclama	a-bare
reclasifica	a-bare
recomanda	a-bare
recombina	a-bare
recomprima	a-bare
recondamna	a-bare
reconduce	e
reconfirma	a-bare
reconvoca	a-bare
rectifica	a-bare
reculege	e
recultiva	a-bare
recuprinde	e
recurge	e
recuza	a-bare
recâștiga	a-bare
recădea	e
recăpăta	a-ez
redeschide	e
redeveni	i-esc
rediscuta	a-bare
redispărea	e
reduce	e
reduplica	a-bare
reedifica	a-bare
reeduca	a-bare
reface	e
referi	i-bare
refierbe	e
refracta	a-bare
refrânge	e
refugi	i-bare
refuza	a-bare
reifica	a-bare
reimprima	a-bare
reintroduce	e
reinvita	a-bare
remarca	a-bare
remite	e
remărita	a-bare
renunța	a-bare
reocupa	a-bare
repara	a-bare
repezi	i-esc
repeți	i-esc
replica	a-bare
reprima	a-bare
reproduce	e
republica	a-bare
repugna	a-bare
resfira	a-bare
resimți	i-bare
resorbi	i-bare
respinge	e
respira	a-bare
restrânge	e
retraduce	e
retrage	e
retransmite	e
retrimite	e
reunifica	a-bare
reurca	a-bare
revalorifica	a-bare
revandica	a-bare
revendica	a-bare
reveni	i-esc
reverifica	a-bare
revinde	e
rezida	a-bare
rezinifica	a-bare
rezista	a-bare
rezulta	a-bare
rezuma	a-bare
reîmpăca	a-ez
reîmpărți	i-esc
reînchide	e
reîncărca	a-ez
reînnoda	a-bare
reînturna	a-ez
reînălța	a-ez
ridica	a-bare
rumpe	e
rupe	e
rusifica	a-bare
rustifica	a-bare
râde	e
râma	a-bare
rântura	a-bare
rădica	a-bare
răjghina	a-bare
răntuna	a-bare
răscrăcăna	a-ez
răscumpăra	a-bare
răscăcăra	a-ez
răsfira	a-bare
răsfrânge	e
răsfuga	a-bare
răshira	a-bare
răspica	a-bare
răspunde	e
răsuna	a-bare
răszice	e
răsînțelege	e
răsști	i-esc
rătunde	e
răzbate	e
războteza	a-ez
răzbuna	a-bare
răzghina	a-bare
răzima	a-ez
răzmânca	a-bare
sacrifica	a-bare
salifica	a-bare
saluta	a-bare
sanctifica	a-bare
sanifica	a-bare
saponifica	a-bare
satisface	e
sbate	e
sburda	a-bare
scade	e
scariface	e
scarifica	a-bare
scheauna	a-bare
schiauna	a-bare
schimba	a-bare
schinteia	a-ez
scufunda	a-bare
scuipa	a-bare
scumpăra	a-bare
scura	a-bare
scurge	e
scurma	a-bare
scutura	a-bare
scuza	a-bare
scârma	a-bare
scăciuna	a-bare
sdrumica	a-bare
sdruncina	a-bare
seduce	e
segrega	a-ez
semnifica	a-bare
separa	a-bare
sfertica	a-bare
sfrământa	a-bare
sfârtica	a-bare
sfărma	a-bare
sfărâma	a-bare
sfărăma	a-bare
sigura	a-bare
simplifica	a-bare
sinucide	e
smiciula	a-bare
smicura	a-bare
smicuri	i-bare
smulge	e
solicita	a-bare
solidifica	a-bare
sorbi	i-bare
sovâlca	a-bare
sovâlta	a-bare
sparge	e
specifica	a-bare
spurca	a-bare
spânzura	a-bare
spăimânta	a-bare
stinge	e
stratifica	a-bare
strecura	a-bare
strevedea	e
strica	a-bare
striga	a-bare
struncina	a-bare
strânge	e
străbate	e
străfiga	a-bare
strămura	a-bare
strămuta	a-bare
strănuta	a-bare
străpunge	e
strătăia	a-ez
stâmpăra	a-bare
stăura	a-bare
subdivide	e
suberifica	a-bare
subjuga	a-bare
submite	e
substantifica	a-bare
subtîncinge	e
subzista	a-bare
subîmpărți	i-esc
subîntinde	e
subînțelege	e
suflica	a-bare
sufulca	a-bare
suge	e
sughița	a-bare
sugruma	a-bare
sugușa	a-bare
suliga	a-bare
sumete	e
suminica	a-bare
sumite	e
sumuța	a-bare
suna	a-bare
suplica	a-bare
suplicia	a-ez
supracomprima	a-bare
supraexcita	a-bare
supraimprima	a-bare
supraproduce	e
suprasolicita	a-bare
supraucide	e
supraveni	i-esc
supraîncărca	a-ez
suprima	a-bare
suptmite	e
supția	a-ez
surescita	a-bare
surliga	a-bare
surpa	a-bare
surprinde	e
sursura	a-bare
surupa	a-bare
surveni	i-esc
surâde	e
suscita	a-bare
suspina	a-bare
sustrage	e
susura	a-bare
săruta	a-bare
săsăla	a-bare
telecomanda	a-bare
teleimprima	a-bare
teletransmite	e
terifia	a-ez
termina	a-bare
termofica	a-bare
tinde	e
tinge	e
toca	a-bare
tonca	a-bare
tonifica	a-bare
tovăra	a-bare
traduce	e
trage	e
transcende	e
transmite	e
transmuta	a-bare
transpira	a-bare
tremete	e
tremura	a-bare
tresălta	a-ez
trimete	e
trimite	e
trămite	e
tulbura	a-bare
tumefia	a-ez
tuna	a-bare
tunde	e
tuplica	a-bare
turbura	a-bare
tâmpina	a-bare
tâmpla	a-bare
tămânda	a-bare
ucide	e
uciga	a-bare
uda	a-bare
uita	a-bare
umidifica	a-bare
unge	e
unifica	a-bare
urca	a-bare
urduca	a-bare
urzica	a-bare
ustura	a-bare
usuca	a-bare
valorifica	a-bare
verifica	a-bare
versifica	a-bare
vinge	e
vinifica	a-bare
vitrifica	a-bare
vivifica	a-bare
viția	a-ez
volbura	a-bare
vâjii	i-esc
vântui	i-esc
vântura	a-bare
văieta	a-ez
zabate	e
zaharifica	a-bare
zbate	e
zbiciula	a-bare
zbuciuma	a-bare
zburda	a-bare
zdrumica	a-bare
zdruncina	a-ez
zdrâncina	a-bare
zeifica	a-bare
zemui	i-esc
zgaibăra	a-bare
zghehuna	a-bare
zgremțâna	a-bare
zgrepțura	a-bare
zgrepțâna	a-bare
zgripsăna	a-bare
zgurifica	a-bare
zgâima	a-bare
zgâlțina	a-bare
zgâlțâna	a-bare
zgâțina	a-bare
zgâțâna	a-bare
zgăura	a-bare
zmicura	a-bare
zmulge	e
zonifica	a-bare
zugruma	a-bare
zvântura	a-bare
zvârli	i-esc
zăuita	a-bare
îmbarca	a-bare
îmbiba	a-bare
îmbina	a-bare
îmbinde	e
îmbrânca	a-bare
îmbuca	a-bare
îmbucura	a-bare
îmbuiba	a-bare
îmbumba	a-bare
îmbura	a-bare
îmburda	a-bare
îmbârca	a-bare
îmbârliga	a-bare
îmbăira	a-ez
împiedica	a-bare
împinge	e
împlimba	a-bare
împlânta	a-bare
împrejura	a-bare
împresura	a-bare
împrinde	e
împrumuta	a-bare
împunge	e
împuta	a-bare
împândura	a-bare
închide	e
închina	a-bare
închinga	a-bare
încinde	e
încinge	e
înclina	a-bare
înconjura	a-bare
încovoia	a-ez
încovriga	a-bare
încrede	e
încrunta	a-bare
încumăta	a-bare
încunjura	a-bare
încura	a-bare
încurca	a-bare
încânta	a-bare
încârliga	a-bare
încălica	a-ez
îndelunga	a-bare
îndopa	a-bare
îndrica	a-bare
îndruga	a-bare
îndumica	a-bare
îndura	a-bare
îndurliga	a-bare
înferica	a-bare
înfierbânta	a-bare
înfige	e
înfira	a-bare
înfoca	a-bare
înfrica	a-bare
înfrunta	a-bare
înfrupta	a-bare
înfrânge	e
înfulica	a-bare
înfunda	a-bare
înfurca	a-bare
înfurnica	a-bare
înfășca	a-ez
înfășura	a-bare
îngenunchia	a-ez
înghilța	a-bare
înghimpa	a-bare
îngropa	a-bare
îngroșa	a-bare
îngurga	a-bare
îngâmba	a-bare
îngâna	a-bare
înhăța	a-ez
înjuga	a-bare
înjura	a-bare
înlătura	a-bare
înnoda	a-bare
înota	a-bare
înspica	a-bare
înspăimânta	a-bare
întimpina	a-bare
întinde	e
întinge	e
întorloca	a-bare
întrece	e
întredeschide	e
întremânca	a-bare
întreprinde	e
întrepătrunde	e
întrerumpe	e
întrerupe	e
întretăia	a-ez
întroduce	e
întroloca	a-bare
întruloca	a-bare
întuflica	a-bare
întâmpina	a-bare
întâmpla	a-bare
întârta	a-bare
întărta	a-bare
întărâta	a-bare
înveriga	a-bare
învinge	e
înăbuși	i-esc
înșira	a-bare
înțapa	a-bare
înțelege	e
înțăpa	a-bare
șchiopârca	a-bare
ședea	e
șovârca	a-bare
șterge	e
știlbura	a-bare
știulbica	a-bare
știuldica	a-bare
țesăla	a-bare
țeșăla	a-bare
țicura	a-bare
țipa	a-bare
țircula	a-bare
țirțira	a-bare
țisăla	a-bare
țiuna	a-bare
țivlica	a-bare
țorțura	a-bare
țuca	a-bare
țuica	a-bare
țupa	a-bare
țurțura	a-bare
țuvica	a-bare
țuvlica	a-bare
țuțula	a-bare
țuțuliga	a-bare
țuțura	a-bare
țârțâra	a-bare
țâuna	a-bare
țâvlica	a-bare
țâțula	a-bare
